id,question_format,total,answered,error_responses,accuracy_scored_rows,correct,accuracy,random_guess_baseline,random_guess_expected_correct,accuracy_minus_random_guess,missing_accuracy_rows,bleurt_count,bleurt_mean,bleurt_min,bleurt_max
SC-1,MCQ,850,850,207,850,180,0.21176470588235294,0.2,170.0,0.011764705882352927,0,0,,,
SC-2,MCQ,850,850,207,850,585,0.6882352941176471,0.3333333333333333,283.3333333333333,0.35490196078431374,0,0,,,
SC-3,MCQ,850,850,207,850,167,0.19647058823529412,0.2,170.0,-0.003529411764705892,0,0,,,
SC-4,MCQ,850,850,207,850,123,0.14470588235294118,0.3333333333333333,283.3333333333333,-0.18862745098039213,0,0,,,
SC-5,MCQ,850,850,207,850,240,0.2823529411764706,0.3333333333333333,283.3333333333333,-0.05098039215686273,0,0,,,
SC-6,FRQ,850,850,207,0,0,,,,,850,643,-0.35474441546952556,-0.7524951100349426,-0.04404005408287048
SP-1,MCQ,6679,6679,0,6679,2069,0.3097769127114838,0.16666666666666666,1113.1666666666665,0.14311024604481712,0,0,,,
SP-2,MCQ,6679,6679,0,6679,2228,0.3335828716873783,0.125,834.875,0.20858287168737832,0,0,,,
SP-3,MCQ,6679,6679,0,6679,1499,0.22443479562808805,0.2,1335.8000000000002,0.024434795628088035,0,0,,,
SP-4,MCQ,6679,6679,0,6679,1063,0.15915556220991167,0.2,1335.8000000000002,-0.04084443779008834,0,0,,,
SP-5,MCQ,6679,6679,0,6679,2236,0.33478065578679445,0.25,1669.75,0.08478065578679445,0,0,,,
SP-6,MCQ,6679,6679,0,6679,5656,0.8468333582871688,0.3333333333333333,2226.333333333333,0.5135000249538355,0,0,,,
SP-7,FRQ,6679,6679,0,0,0,,,,,6679,6679,-0.33720413556283135,-0.8533627986907959,0.1636294424533844
SU-1,MCQ,6679,6679,0,6679,497,0.07441233717622399,0.25,1669.75,-0.17558766282377603,0,0,,,
SU-2,MCQ,6679,6679,0,6679,880,0.13175625093576881,0.14285714285714285,954.1428571428571,-0.011100891921374034,0,0,,,
SU-3,MCQ,6679,6679,0,6679,3800,0.5689474472226381,0.25,1669.75,0.3189474472226381,0,0,,,
SU-4,MCQ,6679,6679,0,6679,715,0.10705195388531218,0.25,1669.75,-0.1429480461146878,0,0,,,
SU-5,MCQ,6679,6679,0,6679,3049,0.4565054648899536,0.16666666666666666,1113.1666666666665,0.28983879822328695,0,0,,,
SU-6,MCQ,6679,6679,0,6679,2545,0.38104506662674054,0.25,1669.75,0.13104506662674054,0,0,,,
SU-7,FRQ,6679,6679,0,0,0,,,,,6679,6679,-0.3658547427274899,-0.8572447896003723,0.04276435077190399
TE-1,MCQ,6679,6679,0,6679,1269,0.18999850276987573,0.2,1335.8000000000002,-0.010001497230124279,0,0,,,
TE-2,MCQ,6679,6679,0,6679,3513,0.5259769426560862,0.2,1335.8000000000002,0.3259769426560862,0,0,,,
TE-3,MCQ,6679,6679,0,6679,2106,0.3153166641712831,0.2,1335.8000000000002,0.11531666417128311,0,0,,,
TE-4,MCQ,6679,6679,0,6679,1361,0.20377301991316066,0.16666666666666666,1113.1666666666665,0.037106353246494,0,0,,,
TE-5,MCQ,6679,6679,0,6679,1724,0.2581224734241653,0.2,1335.8000000000002,0.058122473424165266,0,0,,,
TE-6,FRQ,6679,6679,0,0,0,,,,,6679,6679,-0.4152314022265967,-0.990280032157898,0.06035672128200531
TM-1,MCQ,6679,6679,0,6679,1503,0.22503368767779608,0.16666666666666666,1113.1666666666665,0.05836702101112942,0,0,,,
TM-2,MCQ,6679,6679,0,6679,2620,0.3922742925587663,0.16666666666666666,1113.1666666666665,0.22560762589209962,0,0,,,
TM-3,MCQ,6679,6679,0,6679,2390,0.35783799970055397,0.16666666666666666,1113.1666666666665,0.1911713330338873,0,0,,,
TM-4,MCQ,6679,6679,0,6679,1173,0.17562509357688277,0.25,1669.75,-0.07437490642311723,0,0,,,
TM-5,MCQ,6679,6679,0,6679,2368,0.35454409342715976,0.25,1669.75,0.10454409342715976,0,0,,,
TM-6,FRQ,6679,6679,0,0,0,,,,,6679,6679,-0.562277431883557,-1.1938680410385132,-0.16378946602344513
TRJ-1,MCQ,5856,5856,0,5856,2008,0.34289617486338797,0.16666666666666666,976.0,0.1762295081967213,0,0,,,
TRJ-2,MCQ,5856,5856,0,5856,4018,0.6861338797814208,0.16666666666666666,976.0,0.5194672131147542,0,0,,,
TRJ-3,MCQ,5856,5856,0,5856,4417,0.7542691256830601,0.16666666666666666,976.0,0.5876024590163935,0,0,,,
TRJ-4,MCQ,5856,5856,0,5856,1921,0.3280396174863388,0.25,1464.0,0.07803961748633881,0,0,,,
TRJ-5,FRQ,5856,5856,0,0,0,,,,,5856,5856,0.13785428980166917,-1.3345134258270264,1.0205950736999512
TRJ-6,FRQ,5856,5856,0,0,0,,,,,5856,5856,0.30268839132320646,-1.1241159439086914,1.0352773666381836
TRJ-7,FRQ,5856,5856,0,0,0,,,,,5856,5856,-0.31587264927923475,-0.9905137419700623,0.21055084466934204
